cat,cat_lab,count,percentage,measure,n_responses,site,year_group_lab,gender_lab,fsm_lab,sen_lab,group,measure_lab
"[1, 2, 3, 4, 5, nan]","['Not at all like me', 'A little like me', 'Somewhat like me', 'Mostly like me', 'Very much like me', 'No response']","[167, 137, 164, 160, 161, 11]","[20.875, 17.125, 20.5, 20.0, 20.125, 1.375]",optimism_work,800.0,Northern Devon,All,All,All,All,optimism,"
I believe that things will work out, no matter how difficult they seem"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[164, 142, 159, 163, 145, 27]","[20.5, 17.75, 19.875, 20.375, 18.125, 3.375]",wellbeing_optimistic,800.0,Northern Devon,All,All,All,All,wellbeing,"
I've been feeling optimistic about the future"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[160, 140, 161, 157, 153, 29]","[20.0, 17.5, 20.125, 19.625, 19.125, 3.6249999999999996]",wellbeing_useful,800.0,Northern Devon,All,All,All,All,wellbeing,"
I've been feeling useful"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[164, 154, 132, 136, 150, 64]","[20.5, 19.25, 16.5, 17.0, 18.75, 8.0]",wellbeing_relaxed,800.0,Northern Devon,All,All,All,All,wellbeing,"
I've been feeling relaxed"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[156, 126, 135, 152, 154, 77]","[19.5, 15.75, 16.875, 19.0, 19.25, 9.625]",wellbeing_problems,800.0,Northern Devon,All,All,All,All,wellbeing,"
I've been dealing with problems well"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[148, 141, 194, 158, 156, 3]","[18.5, 17.625, 24.25, 19.75, 19.5, 0.375]",wellbeing_thinking,800.0,Northern Devon,All,All,All,All,wellbeing,"
I've been thinking clearly"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[151, 136, 140, 142, 160, 71]","[18.875, 17.0, 17.5, 17.75, 20.0, 8.875]",wellbeing_close,800.0,Northern Devon,All,All,All,All,wellbeing,"
I've been feeling close to other people"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[172, 161, 147, 142, 153, 25]","[21.5, 20.125, 18.375, 17.75, 19.125, 3.125]",wellbeing_mind,800.0,Northern Devon,All,All,All,All,wellbeing,"
I've been able to make up my own mind about things"
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[178, 181, 178, 172, 91]","[22.25, 22.625, 22.25, 21.5, 11.375]",esteem_satisfied,800.0,Northern Devon,All,All,All,All,esteem,"
On the whole, I am satisfied with myself"
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[188, 182, 174, 173, 83]","[23.5, 22.75, 21.75, 21.625, 10.375]",esteem_qualities,800.0,Northern Devon,All,All,All,All,esteem,"
I feel that I have a number of good qualities"
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[193, 189, 174, 155, 89]","[24.125, 23.625, 21.75, 19.375, 11.125]",esteem_well,800.0,Northern Devon,All,All,All,All,esteem,"
I am able to do things as well as most other people"
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[179, 190, 190, 172, 69]","[22.375, 23.75, 23.75, 21.5, 8.625]",esteem_value,800.0,Northern Devon,All,All,All,All,esteem,"
I am a person of value"
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[199, 198, 178, 172, 53]","[24.875, 24.75, 22.25, 21.5, 6.625]",esteem_good,800.0,Northern Devon,All,All,All,All,esteem,"
I feel good about myself"
"[1, 2, 3, 4, 5, nan]","['Never', 'Almost Never', 'Sometimes', 'Fairly Often', 'Very Often', 'No response']","[138, 171, 149, 163, 151, 28]","[17.25, 21.375, 18.625, 20.375, 18.875, 3.5000000000000004]",stress_control,800.0,Northern Devon,All,All,All,All,stress,"
Felt you were unable to control the important things in your life"
"[1, 2, 3, 4, 5, nan]","['Never', 'Almost Never', 'Sometimes', 'Fairly Often', 'Very Often', 'No response']","[118, 160, 170, 146, 149, 57]","[14.75, 20.0, 21.25, 18.25, 18.625, 7.124999999999999]",stress_overcome,800.0,Northern Devon,All,All,All,All,stress,"
Felt that difficulties were piling up so high that you could not overcome
them"
"[1, 2, 3, 4, 5, nan]","['Never', 'Almost Never', 'Sometimes', 'Fairly Often', 'Very Often', 'No response']","[149, 143, 158, 130, 145, 75]","[18.625, 17.875, 19.75, 16.25, 18.125, 9.375]",stress_confident,800.0,Northern Devon,All,All,All,All,stress,"
Felt confident about your ability to handle your personal problems"
"[1, 2, 3, 4, 5, nan]","['Never', 'Almost Never', 'Sometimes', 'Fairly Often', 'Very Often', 'No response']","[150, 154, 143, 168, 150, 35]","[18.75, 19.25, 17.875, 21.0, 18.75, 4.375]",stress_way,800.0,Northern Devon,All,All,All,All,stress,"
Felt that things were going your way"
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, nan]","['0 - Very unhappy', '1', '2', '3', '4', '5 - Not happy or unhappy', '6', '7', '8', '9', '10 - Very happy', 'Prefer not to say', 'No response']","[70, 60, 64, 76, 64, 80, 60, 61, 77, 64, 64, 60, 0]","[8.75, 7.5, 8.0, 9.5, 8.0, 10.0, 7.5, 7.625, 9.625, 8.0, 8.0, 7.5, 0.0]",appearance_happy,800.0,Northern Devon,All,All,All,All,appearance,"
How happy are you with your appearance (the way that you look)?"
"[1, 2, 3, 4, 5, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'Prefer not to say', 'No response']","[139, 147, 132, 155, 130, 97]","[17.375, 18.375, 16.5, 19.375, 16.25, 12.125]",appearance_feel,800.0,Northern Devon,All,All,All,All,appearance,"
My appearance affects how I feel about myself"
"[1, 2, 3, nan]","['Never', 'Sometimes', 'Always', 'No response']","[256, 269, 255, 20]","[32.0, 33.625, 31.874999999999996, 2.5]",negative_lonely,800.0,Northern Devon,All,All,All,All,negative,"
I feel lonely"
"[1, 2, 3, nan]","['Never', 'Sometimes', 'Always', 'No response']","[228, 256, 227, 89]","[28.499999999999996, 32.0, 28.375, 11.125]",negative_unhappy,800.0,Northern Devon,All,All,All,All,negative,"
I am unhappy"
"[1, 2, 3, nan]","['Never', 'Sometimes', 'Always', 'No response']","[250, 251, 245, 54]","[31.25, 31.374999999999996, 30.625000000000004, 6.75]",negative_like,800.0,Northern Devon,All,All,All,All,negative,"
Nobody likes me"
"[1, 2, 3, nan]","['Never', 'Sometimes', 'Always', 'No response']","[248, 233, 276, 43]","[31.0, 29.125, 34.5, 5.375]",negative_cry,800.0,Northern Devon,All,All,All,All,negative,"
I cry a lot"
"[1, 2, 3, nan]","['Never', 'Sometimes', 'Always', 'No response']","[252, 256, 257, 35]","[31.5, 32.0, 32.125, 4.375]",negative_school,800.0,Northern Devon,All,All,All,All,negative,"
I worry when I am at school"
"[1, 2, 3, nan]","['Never', 'Sometimes', 'Always', 'No response']","[284, 271, 226, 19]","[35.5, 33.875, 28.249999999999996, 2.375]",negative_worry,800.0,Northern Devon,All,All,All,All,negative,"
I worry a lot"
"[1, 2, 3, nan]","['Never', 'Sometimes', 'Always', 'No response']","[255, 271, 247, 27]","[31.874999999999996, 33.875, 30.875000000000004, 3.375]",negative_sleep,800.0,Northern Devon,All,All,All,All,negative,"
I have problems sleeping"
"[1, 2, 3, nan]","['Never', 'Sometimes', 'Always', 'No response']","[232, 232, 239, 97]","[28.999999999999996, 28.999999999999996, 29.875, 12.125]",negative_wake,800.0,Northern Devon,All,All,All,All,negative,"
I wake up in the night"
"[1, 2, 3, nan]","['Never', 'Sometimes', 'Always', 'No response']","[232, 258, 267, 43]","[28.999999999999996, 32.25, 33.375, 5.375]",negative_shy,800.0,Northern Devon,All,All,All,All,negative,"
I am shy"
"[1, 2, 3, nan]","['Never', 'Sometimes', 'Always', 'No response']","[269, 276, 242, 13]","[33.625, 34.5, 30.25, 1.625]",negative_scared,800.0,Northern Devon,All,All,All,All,negative,"
I feel scared"
"[1, 2, 3, 4, 5, nan]","['Often or always', 'Some of the time', 'Occasionally', 'Hardly ever', 'Never', 'No response']","[153, 173, 133, 152, 178, 11]","[19.125, 21.625, 16.625, 19.0, 22.25, 1.375]",lonely,800.0,Northern Devon,All,All,All,All,lonely,"
How often do you feel lonely?"
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[169, 187, 170, 226, 48]","[21.125, 23.375, 21.25, 28.249999999999996, 6.0]",support_ways,800.0,Northern Devon,All,All,All,All,support,"
I have ways to support myself (e.g. to cope, or help myself feel better)"
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[175, 215, 196, 202, 12]","[21.875, 26.875, 24.5, 25.25, 1.5]",support_look,800.0,Northern Devon,All,All,All,All,support,"
I know where to look for advice on how to support myself"
"[0, 1, nan]","['No', 'Yes', 'No response']","[387, 368, 45]","[48.375, 46.0, 5.625]",sleep,800.0,Northern Devon,All,All,All,All,sleep,"
Is the amount of sleep you normally get enough for you to feel awake and
concentrate on your school work during the day?"
"[0, 1, 2, 3, 4, 5, 6, 7, nan]","['0 days', '1 day', '2 days', '3 days', '4 days', '5 days', '6 days', '7 days', 'No response']","[107, 87, 86, 104, 105, 90, 80, 97, 44]","[13.375, 10.875, 10.75, 13.0, 13.125, 11.25, 10.0, 12.125, 5.5]",physical_days,800.0,Northern Devon,All,All,All,All,physical,"
How many days in a usual week are you physically active?"
"[30, 60, 90, 120, nan]","['Around 30 minutes', 'Around 1 hour', 'Around 1.5 hours', 'Around 2 hours or more', 'No response']","[183, 192, 161, 187, 77]","[22.875, 24.0, 20.125, 23.375, 9.625]",physical_hours,800.0,Northern Devon,All,All,All,All,physical,"
How long on average do you spend being physically active?"
"[1, 2, 3, 4, 5, nan]","['Almost always', 'Often', 'Sometimes', 'Not often', 'Almost never', 'No response']","[154, 150, 155, 160, 148, 33]","[19.25, 18.75, 19.375, 20.0, 18.5, 4.125]",free_like,800.0,Northern Devon,All,All,All,All,free_like,"
How often can you do things that you like in your free time?"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, nan]","['None', 'Less than 1 hour', '1 to 2 hours', '2 to 3 hours', '3 to 4 hours', '4 to 5 hours', '5 to 6 hours', '6 to 7 hours', '7 hours or more', 'No response']","[102, 78, 92, 87, 82, 94, 109, 85, 66, 5]","[12.75, 9.75, 11.5, 10.875, 10.25, 11.75, 13.625000000000002, 10.625, 8.25, 0.625]",media_hours,800.0,Northern Devon,All,All,All,All,media,"
On a normal weekday during term time, how much time do you spend on social
media?"
"[1, 2, 3, 4, nan]","['None ', 'Limited', 'Several', 'Lots', 'No response']","[201, 194, 191, 199, 15]","[25.124999999999996, 24.25, 23.875, 24.875, 1.875]",places_freq,800.0,Northern Devon,All,All,All,All,places,"
How many activities/places are there in your local area, that you choose to or
would want to go to in your free time?"
"[0, 1, nan]","['No', 'Yes', 'No response']","[373, 375, 52]","[46.625, 46.875, 6.5]",places_barriers___1,800.0,Northern Devon,All,All,All,All,places,"
There's nothing to do"
"[0, 1, nan]","['No', 'Yes', 'No response']","[370, 378, 52]","[46.25, 47.25, 6.5]",places_barriers___2,800.0,Northern Devon,All,All,All,All,places,"
I'm unable to get there and back"
"[0, 1, nan]","['No', 'Yes', 'No response']","[403, 345, 52]","[50.375, 43.125, 6.5]",places_barriers___3,800.0,Northern Devon,All,All,All,All,places,"
It's too expensive (to get there or take part)"
"[0, 1, nan]","['No', 'Yes', 'No response']","[391, 357, 52]","[48.875, 44.625, 6.5]",places_barriers___4,800.0,Northern Devon,All,All,All,All,places,"
Poor weather"
"[0, 1, nan]","['No', 'Yes', 'No response']","[428, 320, 52]","[53.5, 40.0, 6.5]",places_barriers___5,800.0,Northern Devon,All,All,All,All,places,"
I have no-one to go with"
"[0, 1, nan]","['No', 'Yes', 'No response']","[404, 344, 52]","[50.5, 43.0, 6.5]",places_barriers___6,800.0,Northern Devon,All,All,All,All,places,"
It's too busy"
"[0, 1, nan]","['No', 'Yes', 'No response']","[397, 351, 52]","[49.625, 43.875, 6.5]",places_barriers___7,800.0,Northern Devon,All,All,All,All,places,"
I feel uncomfortable/anxious about other people who might be there"
"[0, 1, nan]","['No', 'Yes', 'No response']","[396, 352, 52]","[49.5, 44.0, 6.5]",places_barriers___8,800.0,Northern Devon,All,All,All,All,places,"
My parents/carers don't allow me to go"
"[0, 1, nan]","['No', 'Yes', 'No response']","[378, 370, 52]","[47.25, 46.25, 6.5]",places_barriers___9,800.0,Northern Devon,All,All,All,All,places,"
Other"
"[1, 2, 3, 4, 5, nan]","['Not at all', 'A little', 'Somewhat', 'Quite a bit', 'A lot', 'No response']","[161, 147, 129, 129, 144, 90]","[20.125, 18.375, 16.125, 16.125, 18.0, 11.25]",school_belong,800.0,Northern Devon,All,All,All,All,school_belong,"
I feel that I belong/belonged at my school"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[154, 147, 160, 151, 180, 8]","[19.25, 18.375, 20.0, 18.875, 22.5, 1.0]",staff_interest,800.0,Northern Devon,All,All,All,All,staff_relationship,"
At school there is an adult who... is interested in my schoolwork"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[153, 170, 178, 139, 155, 5]","[19.125, 21.25, 22.25, 17.375, 19.375, 0.625]",staff_believe,800.0,Northern Devon,All,All,All,All,staff_relationship,"
At school there is an adult who... believes that I will be a success"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[160, 140, 139, 140, 137, 84]","[20.0, 17.5, 17.375, 17.5, 17.125, 10.5]",staff_best,800.0,Northern Devon,All,All,All,All,staff_relationship,"
At school there is an adult who... wants me to do my best"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[157, 146, 145, 159, 164, 29]","[19.625, 18.25, 18.125, 19.875, 20.5, 3.6249999999999996]",staff_listen,800.0,Northern Devon,All,All,All,All,staff_relationship,"
At school there is an adult who... listens to me when I have something to
say"
"[0, 1, nan]","['No', 'Yes', 'No response']","[332, 370, 98]","[41.5, 46.25, 12.25]",staff_talk,800.0,Northern Devon,All,All,All,All,talk,"
Talked about feeling down with... an adult at school"
"[1, 2, 3, 4, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'No response']","[101, 91, 69, 93, 16]","[27.297297297297295, 24.594594594594597, 18.64864864864865, 25.135135135135133, 4.324324324324325]",staff_talk_listen,370.0,Northern Devon,All,All,All,All,talk,"
Did you feel listened to when you spoke with... an adult at school"
"[1, 2, 3, nan]","['Not helpful', 'Somewhat helpful', 'Very helpful', 'No response']","[121, 122, 122, 5]","[32.7027027027027, 32.972972972972975, 32.972972972972975, 1.3513513513513513]",staff_talk_helpful,370.0,Northern Devon,All,All,All,All,talk,"
Did you receive advice that you found helpful from... an adult at school"
"[1, 2, 3, 4, nan]","['Very uncomfortable', 'Uncomfortable', 'Comfortable', 'Very comfortable', 'No response']","[79, 83, 67, 84, 19]","[23.795180722891565, 25.0, 20.180722891566266, 25.301204819277107, 5.72289156626506]",staff_talk_if,332.0,Northern Devon,All,All,All,All,talk,"
How would you feel about speaking with... an adult at school"
"[1, 2, 3, 4, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'No response']","[197, 195, 199, 197, 12]","[24.625, 24.375, 24.875, 24.625, 1.5]",accept_staff,800.0,Northern Devon,All,All,All,All,accept,"
Adults at your school"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[155, 137, 129, 177, 154, 48]","[19.375, 17.125, 16.125, 22.125, 19.25, 6.0]",home_interest,800.0,Northern Devon,All,All,All,All,home_relationship,"
At home there is an adult who... is interested in my schoolwork"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[169, 144, 159, 137, 156, 35]","[21.125, 18.0, 19.875, 17.125, 19.5, 4.375]",home_believe,800.0,Northern Devon,All,All,All,All,home_relationship,"
At home there is an adult who... believes that I will be a success"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[150, 144, 156, 152, 140, 58]","[18.75, 18.0, 19.5, 19.0, 17.5, 7.249999999999999]",home_best,800.0,Northern Devon,All,All,All,All,home_relationship,"
At home there is an adult who... wants me to do my best"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[141, 145, 138, 147, 148, 81]","[17.625, 18.125, 17.25, 18.375, 18.5, 10.125]",home_listen,800.0,Northern Devon,All,All,All,All,home_relationship,"
At home there is an adult who... listens to me when I have something to say"
"[0, 1, nan]","['No', 'Yes', 'No response']","[376, 378, 46]","[47.0, 47.25, 5.75]",home_talk,800.0,Northern Devon,All,All,All,All,talk,"
Talked about feeling down with... one of your parents/carers"
"[1, 2, 3, 4, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'No response']","[77, 84, 110, 95, 12]","[20.37037037037037, 22.22222222222222, 29.100529100529098, 25.132275132275133, 3.1746031746031744]",home_talk_listen,378.0,Northern Devon,All,All,All,All,talk,"
Did you feel listened to when you spoke with... one of your parents/carers"
"[1, 2, 3, nan]","['Not helpful', 'Somewhat helpful', 'Very helpful', 'No response']","[133, 94, 124, 27]","[35.18518518518518, 24.867724867724867, 32.804232804232804, 7.142857142857142]",home_talk_helpful,378.0,Northern Devon,All,All,All,All,talk,"
Did you receive advice that you found helpful from... one of your
parents/carers"
"[1, 2, 3, 4, nan]","['Very uncomfortable', 'Uncomfortable', 'Comfortable', 'Very comfortable', 'No response']","[85, 79, 96, 91, 25]","[22.606382978723406, 21.01063829787234, 25.53191489361702, 24.20212765957447, 6.648936170212766]",home_talk_if,376.0,Northern Devon,All,All,All,All,talk,"
How would you feel about speaking with... one of your parents/carers"
"[1, 2, 3, 4, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'No response']","[195, 192, 201, 186, 26]","[24.375, 24.0, 25.124999999999996, 23.25, 3.25]",accept_home,800.0,Northern Devon,All,All,All,All,accept,"
Your parents/carers"
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, nan]","['0 - Very unhappy', '1', '2', '3', '4', '5 - Not happy or unhappy', '6', '7', '8', '9', '10 - Very happy', 'No response']","[75, 62, 45, 79, 68, 66, 68, 57, 58, 73, 64, 85]","[9.375, 7.75, 5.625, 9.875, 8.5, 8.25, 8.5, 7.124999999999999, 7.249999999999999, 9.125, 8.0, 10.625]",home_happy,800.0,Northern Devon,All,All,All,All,home_happy,"
How happy are you with the home that you live in?"
"[1, 2, 3, 4, 5, nan]","['Very safe', 'Fairly safe', 'Fairly unsafe', 'Very unsafe', ""Don't know"", 'No response']","[150, 117, 162, 145, 139, 87]","[18.75, 14.625, 20.25, 18.125, 17.375, 10.875]",local_safe,800.0,Northern Devon,All,All,All,All,local_env,"
How safe do you feel when in your local area?"
"[1, 2, 3, 4, 5, nan]","['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', 'No response']","[142, 143, 133, 139, 161, 82]","[17.75, 17.875, 16.625, 17.375, 20.125, 10.25]",local_support,800.0,Northern Devon,All,All,All,All,local_env,"
People around here support each other with their wellbeing"
"[1, 2, 3, 4, 5, nan]","['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', 'No response']","[183, 150, 137, 164, 157, 9]","[22.875, 18.75, 17.125, 20.5, 19.625, 1.125]",local_trust,800.0,Northern Devon,All,All,All,All,local_env,"
You can trust people around here"
"[1, 2, 3, 4, 5, nan]","['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', 'No response']","[140, 129, 156, 141, 157, 77]","[17.5, 16.125, 19.5, 17.625, 19.625, 9.625]",local_neighbours,800.0,Northern Devon,All,All,All,All,local_env,"
I could ask for help or a favour from neighbours"
"[1, 2, 3, 4, 5, nan]","['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', 'No response']","[151, 147, 138, 154, 129, 81]","[18.875, 18.375, 17.25, 19.25, 16.125, 10.125]",local_places,800.0,Northern Devon,All,All,All,All,local_env,"
There are good places to spend your free time (e.g., leisure centres, parks,
shops)"
"[1, 2, 3, 4, 5, nan]","['Often or always', 'Some of the time', 'Occasionally', 'Hardly ever', 'Never', 'No response']","[158, 151, 160, 142, 168, 21]","[19.75, 18.875, 20.0, 17.75, 21.0, 2.625]",discrim_race,800.0,Northern Devon,All,All,All,All,discrim,"
How often do people make you feel bad because of... your race, skin colour or
where you were born?"
"[1, 2, 3, 4, 5, nan]","['Often or always', 'Some of the time', 'Occasionally', 'Hardly ever', 'Never', 'No response']","[144, 130, 159, 143, 156, 68]","[18.0, 16.25, 19.875, 17.875, 19.5, 8.5]",discrim_gender,800.0,Northern Devon,All,All,All,All,discrim,"
How often do people make you feel bad because of... your gender?"
"[1, 2, 3, 4, 5, nan]","['Often or always', 'Some of the time', 'Occasionally', 'Hardly ever', 'Never', 'No response']","[141, 138, 150, 137, 141, 93]","[17.625, 17.25, 18.75, 17.125, 17.625, 11.625]",discrim_orientation,800.0,Northern Devon,All,All,All,All,discrim,"
How often do people make you feel bad because of... your sexual
orientation?"
"[1, 2, 3, 4, 5, nan]","['Often or always', 'Some of the time', 'Occasionally', 'Hardly ever', 'Never', 'No response']","[171, 145, 153, 150, 150, 31]","[21.375, 18.125, 19.125, 18.75, 18.75, 3.875]",discrim_disability,800.0,Northern Devon,All,All,All,All,discrim,"
How often do people make you feel bad because of... disability?"
"[1, 2, 3, 4, 5, nan]","['Often or always', 'Some of the time', 'Occasionally', 'Hardly ever', 'Never', 'No response']","[162, 150, 165, 144, 159, 20]","[20.25, 18.75, 20.625, 18.0, 19.875, 2.5]",discrim_faith,800.0,Northern Devon,All,All,All,All,discrim,"
How often do people make you feel bad because of... your religion/faith?"
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[154, 180, 185, 222, 59]","[19.25, 22.5, 23.125, 27.750000000000004, 7.375]",belong_local,800.0,Northern Devon,All,All,All,All,belong_local,"
I feel like I belong in my local area"
"[1, 2, 3, 4, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'No response']","[173, 182, 203, 194, 48]","[21.625, 22.75, 25.374999999999996, 24.25, 6.0]",accept_local,800.0,Northern Devon,All,All,All,All,accept,"
People in your local area"
"[1, 2, 3, 4, nan]","['Richer', 'Poorer', 'About the same', ""Don't know"", 'No response']","[174, 186, 203, 203, 34]","[21.75, 23.25, 25.374999999999996, 25.374999999999996, 4.25]",wealth,800.0,Northern Devon,All,All,All,All,wealth,"
Compared to your friends, is your family richer, poorer or about the same?"
"[1, 2, 3, 4, nan]","['Not many', 'Quite a few', 'A lot', 'Unsure', 'No response']","[187, 190, 174, 168, 81]","[23.375, 23.75, 21.75, 21.0, 10.125]",future_options,800.0,Northern Devon,All,All,All,All,future,"
How many options are available?"
"[1, 2, 3, 4, 5, nan]","['Not interested', 'A little interested', 'Quite interested', 'Very interested', 'Unsure', 'No response']","[147, 145, 141, 152, 127, 88]","[18.375, 18.125, 17.625, 19.0, 15.875, 11.0]",future_interest,800.0,Northern Devon,All,All,All,All,future,"
How do you feel about the options available?"
"[1, 2, 3, 4, 5, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'Unsure', 'No response']","[154, 150, 140, 143, 142, 71]","[19.25, 18.75, 17.5, 17.875, 17.75, 8.875]",future_support,800.0,Northern Devon,All,All,All,All,future,"
Do you feel (or think you would feel) supported to explore options that
interest you, even if no-one else around you has done them before?"
