variable,mean,count,msoa
bully_score,7.685714285714286,35.0,North Devon 005
autonomy_score,17.68,25.0,North Devon 006
life_satisfaction_score,4.7,40.0,North Devon 006
optimism_score,11.914285714285715,35.0,North Devon 006
wellbeing_score,21.541666666666668,24.0,North Devon 006
esteem_score,13.666666666666666,24.0,North Devon 006
stress_score,8.161290322580646,31.0,North Devon 006
appearance_score,5.194444444444445,36.0,North Devon 006
negative_score,10.5,22.0,North Devon 006
lonely_score,3.325,40.0,North Devon 006
support_score,5.083333333333333,36.0,North Devon 006
sleep_score,0.43243243243243246,37.0,North Devon 006
physical_score,159.7058823529412,34.0,North Devon 006
free_like_score,3.3684210526315788,38.0,North Devon 006
media_score,4.25,40.0,North Devon 006
places_score,2.58974358974359,39.0,North Devon 006
staff_talk_score,2.763157894736842,38.0,North Devon 006
home_talk_score,2.5,30.0,North Devon 006
peer_talk_score,2.4857142857142858,35.0,North Devon 006
talk_score,7.729166666666667,24.0,North Devon 006
accept_score,9.933333333333334,30.0,North Devon 006
school_belong_score,2.757575757575758,33.0,North Devon 006
staff_relationship_score,12.457142857142857,35.0,North Devon 006
home_relationship_score,13.0,26.0,North Devon 006
home_happy_score,5.545454545454546,33.0,North Devon 006
local_env_score,14.45098039215686,17.0,North Devon 006
discrim_score,1.0,40.0,North Devon 006
belong_local_score,2.5555555555555554,36.0,North Devon 006
wealth_score,0.34782608695652173,23.0,North Devon 006
future_score,7.9375,16.0,North Devon 006
climate_score,2.5789473684210527,38.0,North Devon 006
social_score,11.434782608695652,23.0,North Devon 006
bully_score,7.410256410256411,39.0,North Devon 006
autonomy_score,18.08,25.0,North Devon 007
life_satisfaction_score,5.068181818181818,44.0,North Devon 007
optimism_score,11.818181818181818,44.0,North Devon 007
wellbeing_score,21.1,30.0,North Devon 007
esteem_score,13.0,31.0,North Devon 007
stress_score,8.542857142857143,35.0,North Devon 007
appearance_score,4.560975609756097,41.0,North Devon 007
negative_score,10.518518518518519,27.0,North Devon 007
lonely_score,3.238095238095238,42.0,North Devon 007
support_score,4.690476190476191,42.0,North Devon 007
sleep_score,0.42857142857142855,42.0,North Devon 007
physical_score,280.7692307692308,39.0,North Devon 007
free_like_score,3.048780487804878,41.0,North Devon 007
media_score,3.953488372093023,43.0,North Devon 007
places_score,2.477272727272727,44.0,North Devon 007
staff_talk_score,2.551282051282051,39.0,North Devon 007
home_talk_score,2.6136363636363638,33.0,North Devon 007
peer_talk_score,2.58125,40.0,North Devon 007
talk_score,7.951923076923077,26.0,North Devon 007
accept_score,10.075,40.0,North Devon 007
school_belong_score,3.075,40.0,North Devon 007
staff_relationship_score,11.333333333333334,33.0,North Devon 007
home_relationship_score,11.825,40.0,North Devon 007
home_happy_score,3.975,40.0,North Devon 007
local_env_score,15.651515151515158,22.0,North Devon 007
discrim_score,1.0,44.0,North Devon 007
belong_local_score,2.4634146341463414,41.0,North Devon 007
wealth_score,0.38235294117647056,34.0,North Devon 007
future_score,7.8076923076923075,13.0,North Devon 007
climate_score,2.4318181818181817,44.0,North Devon 007
social_score,11.428571428571429,28.0,North Devon 007
bully_score,7.285714285714286,42.0,North Devon 007
autonomy_score,17.869565217391305,23.0,North Devon 008
life_satisfaction_score,4.90625,32.0,North Devon 008
optimism_score,12.633333333333333,30.0,North Devon 008
wellbeing_score,20.076923076923077,26.0,North Devon 008
esteem_score,12.26086956521739,23.0,North Devon 008
stress_score,7.423076923076923,26.0,North Devon 008
appearance_score,3.8823529411764706,34.0,North Devon 008
negative_score,9.454545454545455,22.0,North Devon 008
lonely_score,2.3714285714285714,35.0,North Devon 008
support_score,5.233333333333333,30.0,North Devon 008
sleep_score,0.5882352941176471,34.0,North Devon 008
physical_score,249.375,32.0,North Devon 008
free_like_score,2.878787878787879,33.0,North Devon 008
media_score,4.914285714285715,35.0,North Devon 008
places_score,2.4285714285714284,35.0,North Devon 008
staff_talk_score,2.6416666666666666,30.0,North Devon 008
home_talk_score,2.7890625,32.0,North Devon 008
peer_talk_score,2.596774193548387,31.0,North Devon 008
talk_score,8.06,25.0,North Devon 008
accept_score,10.2,30.0,North Devon 008
school_belong_score,3.0,30.0,North Devon 008
staff_relationship_score,12.464285714285714,28.0,North Devon 008
home_relationship_score,12.0,26.0,North Devon 008
home_happy_score,5.290322580645161,31.0,North Devon 008
local_env_score,15.407407407407412,18.0,North Devon 008
discrim_score,1.0285714285714285,35.0,North Devon 008
belong_local_score,2.235294117647059,34.0,North Devon 008
wealth_score,0.5,26.0,North Devon 008
future_score,7.6,10.0,North Devon 008
climate_score,2.323529411764706,34.0,North Devon 008
social_score,12.5,22.0,North Devon 008
bully_score,7.545454545454546,33.0,North Devon 008
autonomy_score,17.76923076923077,13.0,North Devon 009
life_satisfaction_score,5.944444444444445,18.0,North Devon 009
optimism_score,11.823529411764707,17.0,North Devon 009
wellbeing_score,20.333333333333332,15.0,North Devon 009
esteem_score,NULL,NULL,North Devon 009
stress_score,6.294117647058823,17.0,North Devon 009
appearance_score,5.666666666666667,18.0,North Devon 009
negative_score,10.333333333333334,15.0,North Devon 009
lonely_score,2.4210526315789473,19.0,North Devon 009
support_score,4.473684210526316,19.0,North Devon 009
sleep_score,0.47368421052631576,19.0,North Devon 009
physical_score,213.52941176470588,17.0,North Devon 009
free_like_score,3.388888888888889,18.0,North Devon 009
media_score,4.894736842105263,19.0,North Devon 009
places_score,2.4444444444444446,18.0,North Devon 009
staff_talk_score,2.5833333333333335,15.0,North Devon 009
home_talk_score,2.5294117647058822,17.0,North Devon 009
peer_talk_score,2.25,16.0,North Devon 009
talk_score,7.0,11.0,North Devon 009
accept_score,9.764705882352942,17.0,North Devon 009
school_belong_score,3.0,15.0,North Devon 009
staff_relationship_score,9.333333333333334,15.0,North Devon 009
home_relationship_score,13.125,16.0,North Devon 009
home_happy_score,4.588235294117647,17.0,North Devon 009
local_env_score,13.857142857142861,14.0,North Devon 009
discrim_score,1.0526315789473684,19.0,North Devon 009
belong_local_score,2.611111111111111,18.0,North Devon 009
wealth_score,0.42857142857142855,14.0,North Devon 009
future_score,NULL,NULL,North Devon 009
climate_score,2.3157894736842106,19.0,North Devon 009
social_score,11.3125,16.0,North Devon 009
bully_score,7.2631578947368425,19.0,North Devon 009
autonomy_score,17.655172413793103,29.0,North Devon 010
life_satisfaction_score,4.388888888888889,36.0,North Devon 010
optimism_score,12.36111111111111,36.0,North Devon 010
wellbeing_score,22.64516129032258,31.0,North Devon 010
esteem_score,13.11111111111111,18.0,North Devon 010
stress_score,8.46875,32.0,North Devon 010
appearance_score,4.714285714285714,35.0,North Devon 010
negative_score,9.08695652173913,23.0,North Devon 010
lonely_score,3.135135135135135,37.0,North Devon 010
support_score,5.117647058823529,34.0,North Devon 010
sleep_score,0.5675675675675675,37.0,North Devon 010
physical_score,235.71428571428572,35.0,North Devon 010
free_like_score,2.5714285714285716,35.0,North Devon 010
media_score,4.2631578947368425,38.0,North Devon 010
places_score,2.710526315789474,38.0,North Devon 010
staff_talk_score,2.2416666666666667,30.0,North Devon 010
home_talk_score,2.4296875,32.0,North Devon 010
peer_talk_score,2.4545454545454546,33.0,North Devon 010
talk_score,7.445652173913044,23.0,North Devon 010
accept_score,9.290322580645162,31.0,North Devon 010
school_belong_score,2.9696969696969697,33.0,North Devon 010
staff_relationship_score,11.65625,32.0,North Devon 010
home_relationship_score,12.035714285714286,28.0,North Devon 010
home_happy_score,3.5454545454545454,33.0,North Devon 010
local_env_score,14.68421052631579,19.0,North Devon 010
discrim_score,1.0,38.0,North Devon 010
belong_local_score,2.1470588235294117,34.0,North Devon 010
wealth_score,0.32,25.0,North Devon 010
future_score,8.25,14.0,North Devon 010
climate_score,2.388888888888889,36.0,North Devon 010
social_score,12.185185185185185,27.0,North Devon 010
bully_score,7.705882352941177,34.0,North Devon 010
autonomy_score,17.473684210526315,19.0,North Devon 011
life_satisfaction_score,4.5,26.0,North Devon 011
optimism_score,11.892857142857142,28.0,North Devon 011
wellbeing_score,22.2,20.0,North Devon 011
esteem_score,13.45,20.0,North Devon 011
stress_score,7.5,24.0,North Devon 011
appearance_score,4.285714285714286,28.0,North Devon 011
negative_score,9.533333333333333,15.0,North Devon 011
lonely_score,3.28125,32.0,North Devon 011
support_score,4.533333333333333,30.0,North Devon 011
sleep_score,0.46875,32.0,North Devon 011
physical_score,256.07142857142856,28.0,North Devon 011
free_like_score,3.2,30.0,North Devon 011
media_score,4.125,32.0,North Devon 011
places_score,2.3870967741935485,31.0,North Devon 011
staff_talk_score,2.0892857142857144,28.0,North Devon 011
home_talk_score,2.330357142857143,28.0,North Devon 011
peer_talk_score,2.894230769230769,26.0,North Devon 011
talk_score,6.975,20.0,North Devon 011
accept_score,9.892857142857142,28.0,North Devon 011
school_belong_score,2.7857142857142856,28.0,North Devon 011
staff_relationship_score,12.551724137931034,29.0,North Devon 011
home_relationship_score,12.64,25.0,North Devon 011
home_happy_score,5.407407407407407,27.0,North Devon 011
local_env_score,15.27450980392157,17.0,North Devon 011
discrim_score,1.0,32.0,North Devon 011
belong_local_score,2.3333333333333335,30.0,North Devon 011
wealth_score,0.3157894736842105,19.0,North Devon 011
future_score,8.65625,16.0,North Devon 011
climate_score,2.413793103448276,29.0,North Devon 011
social_score,11.35,20.0,North Devon 011
bully_score,8.129032258064516,31.0,North Devon 011
autonomy_score,16.647058823529413,17.0,North Devon 012
life_satisfaction_score,4.666666666666667,24.0,North Devon 012
optimism_score,12.782608695652174,23.0,North Devon 012
wellbeing_score,20.1,20.0,North Devon 012
esteem_score,11.866666666666667,15.0,North Devon 012
stress_score,7.818181818181818,22.0,North Devon 012
appearance_score,4.6923076923076925,26.0,North Devon 012
negative_score,9.071428571428571,14.0,North Devon 012
lonely_score,3.12,25.0,North Devon 012
support_score,4.888888888888889,27.0,North Devon 012
sleep_score,0.38461538461538464,26.0,North Devon 012
physical_score,279.4736842105263,19.0,North Devon 012
free_like_score,2.962962962962963,27.0,North Devon 012
media_score,4.518518518518518,27.0,North Devon 012
places_score,2.769230769230769,26.0,North Devon 012
staff_talk_score,2.391304347826087,23.0,North Devon 012
home_talk_score,2.5,25.0,North Devon 012
peer_talk_score,2.125,26.0,North Devon 012
talk_score,6.875,22.0,North Devon 012
accept_score,10.04,25.0,North Devon 012
school_belong_score,2.9130434782608696,23.0,North Devon 012
staff_relationship_score,11.476190476190476,21.0,North Devon 012
home_relationship_score,11.5,16.0,North Devon 012
home_happy_score,4.9523809523809526,21.0,North Devon 012
local_env_score,14.051282051282044,13.0,North Devon 012
discrim_score,1.0,27.0,North Devon 012
belong_local_score,2.28,25.0,North Devon 012
wealth_score,0.3684210526315789,19.0,North Devon 012
future_score,NULL,NULL,North Devon 012
climate_score,2.423076923076923,26.0,North Devon 012
social_score,12.235294117647058,17.0,North Devon 012
bully_score,7.37037037037037,27.0,North Devon 012
autonomy_score,17.26086956521739,23.0,North Devon 013
life_satisfaction_score,5.485714285714286,35.0,North Devon 013
optimism_score,11.657142857142857,35.0,North Devon 013
wellbeing_score,20.848484848484848,33.0,North Devon 013
esteem_score,13.11111111111111,27.0,North Devon 013
stress_score,8.46875,32.0,North Devon 013
appearance_score,5.625,40.0,North Devon 013
negative_score,10.666666666666666,21.0,North Devon 013
lonely_score,2.6097560975609757,41.0,North Devon 013
support_score,5.1,40.0,North Devon 013
sleep_score,0.5263157894736842,38.0,North Devon 013
physical_score,261.2903225806452,31.0,North Devon 013
free_like_score,2.717948717948718,39.0,North Devon 013
media_score,4.414634146341464,41.0,North Devon 013
places_score,2.4878048780487805,41.0,North Devon 013
staff_talk_score,2.5303030303030303,33.0,North Devon 013
home_talk_score,2.2142857142857144,35.0,North Devon 013
peer_talk_score,2.5625,36.0,North Devon 013
talk_score,7.47,25.0,North Devon 013
accept_score,10.078947368421053,38.0,North Devon 013
school_belong_score,3.108108108108108,37.0,North Devon 013
staff_relationship_score,12.657894736842104,38.0,North Devon 013
home_relationship_score,11.5,26.0,North Devon 013
home_happy_score,5.194444444444445,36.0,North Devon 013
local_env_score,14.222222222222221,15.0,North Devon 013
discrim_score,1.048780487804878,41.0,North Devon 013
belong_local_score,2.473684210526316,38.0,North Devon 013
wealth_score,0.4166666666666667,36.0,North Devon 013
future_score,6.464285714285714,14.0,North Devon 013
climate_score,2.3684210526315788,38.0,North Devon 013
social_score,12.73076923076923,26.0,North Devon 013
bully_score,7.425,40.0,North Devon 013
autonomy_score,17.77777777777778,18.0,North Devon 014
life_satisfaction_score,6.25,24.0,North Devon 014
optimism_score,12.08,25.0,North Devon 014
wellbeing_score,20.928571428571427,14.0,North Devon 014
esteem_score,14.0,20.0,North Devon 014
stress_score,7.444444444444445,18.0,North Devon 014
appearance_score,4.777777777777778,27.0,North Devon 014
negative_score,10.166666666666666,12.0,North Devon 014
lonely_score,2.7777777777777777,27.0,North Devon 014
support_score,4.884615384615385,26.0,North Devon 014
sleep_score,0.48,25.0,North Devon 014
physical_score,252.27272727272728,22.0,North Devon 014
free_like_score,2.75,28.0,North Devon 014
media_score,4.714285714285714,28.0,North Devon 014
places_score,2.7142857142857144,28.0,North Devon 014
staff_talk_score,2.75,20.0,North Devon 014
home_talk_score,2.1826923076923075,26.0,North Devon 014
peer_talk_score,2.6634615384615383,26.0,North Devon 014
talk_score,7.777777777777778,18.0,North Devon 014
accept_score,9.391304347826088,23.0,North Devon 014
school_belong_score,2.8518518518518516,27.0,North Devon 014
staff_relationship_score,11.0,20.0,North Devon 014
home_relationship_score,11.958333333333334,24.0,North Devon 014
home_happy_score,5.6923076923076925,26.0,North Devon 014
local_env_score,16.282051282051277,13.0,North Devon 014
discrim_score,1.0,28.0,North Devon 014
belong_local_score,2.3333333333333335,27.0,North Devon 014
wealth_score,0.3888888888888889,18.0,North Devon 014
future_score,NULL,NULL,North Devon 014
climate_score,2.740740740740741,27.0,North Devon 014
social_score,11.25,16.0,North Devon 014
bully_score,7.785714285714286,28.0,North Devon 014
autonomy_score,17.52173913043478,23.0,Torridge 001
life_satisfaction_score,5.108108108108108,37.0,Torridge 001
optimism_score,12.0,36.0,Torridge 001
wellbeing_score,21.51851851851852,27.0,Torridge 001
esteem_score,12.666666666666666,18.0,Torridge 001
stress_score,8.666666666666666,33.0,Torridge 001
appearance_score,4.894736842105263,38.0,Torridge 001
negative_score,9.333333333333334,24.0,Torridge 001
lonely_score,2.95,40.0,Torridge 001
support_score,4.7105263157894735,38.0,Torridge 001
sleep_score,0.5135135135135135,37.0,Torridge 001
physical_score,298.2857142857143,35.0,Torridge 001
free_like_score,3.263157894736842,38.0,Torridge 001
media_score,3.2439024390243905,41.0,Torridge 001
places_score,2.2439024390243905,41.0,Torridge 001
staff_talk_score,2.8088235294117645,34.0,Torridge 001
home_talk_score,2.7302631578947367,38.0,Torridge 001
peer_talk_score,2.3541666666666665,36.0,Torridge 001
talk_score,7.768518518518518,27.0,Torridge 001
accept_score,9.486486486486486,37.0,Torridge 001
school_belong_score,3.5405405405405403,37.0,Torridge 001
staff_relationship_score,11.666666666666666,39.0,Torridge 001
home_relationship_score,12.382352941176471,34.0,Torridge 001
home_happy_score,4.515151515151516,33.0,Torridge 001
local_env_score,15.033333333333335,20.0,Torridge 001
discrim_score,1.0,41.0,Torridge 001
belong_local_score,2.0256410256410255,39.0,Torridge 001
wealth_score,0.25806451612903225,31.0,Torridge 001
future_score,7.333333333333333,18.0,Torridge 001
climate_score,2.5526315789473686,38.0,Torridge 001
social_score,12.185185185185185,27.0,Torridge 001
bully_score,7.435897435897436,39.0,Torridge 001
autonomy_score,18.75,20.0,Torridge 002
life_satisfaction_score,5.571428571428571,28.0,Torridge 002
optimism_score,11.464285714285714,28.0,Torridge 002
wellbeing_score,21.761904761904763,21.0,Torridge 002
esteem_score,12.714285714285714,21.0,Torridge 002
stress_score,7.615384615384615,26.0,Torridge 002
appearance_score,4.0344827586206895,29.0,Torridge 002
negative_score,9.7,20.0,Torridge 002
lonely_score,3.0,32.0,Torridge 002
support_score,4.785714285714286,28.0,Torridge 002
sleep_score,0.6296296296296297,27.0,Torridge 002
physical_score,265.7142857142857,28.0,Torridge 002
free_like_score,2.5625,32.0,Torridge 002
media_score,3.967741935483871,31.0,Torridge 002
places_score,2.064516129032258,31.0,Torridge 002
staff_talk_score,2.537037037037037,27.0,Torridge 002
home_talk_score,2.6785714285714284,28.0,Torridge 002
peer_talk_score,2.475806451612903,31.0,Torridge 002
talk_score,7.545454545454546,22.0,Torridge 002
accept_score,10.366666666666667,30.0,Torridge 002
school_belong_score,2.857142857142857,28.0,Torridge 002
staff_relationship_score,12.3,30.0,Torridge 002
home_relationship_score,13.407407407407407,27.0,Torridge 002
home_happy_score,5.407407407407407,27.0,Torridge 002
local_env_score,14.9047619047619,14.0,Torridge 002
discrim_score,1.0625,32.0,Torridge 002
belong_local_score,2.3666666666666667,30.0,Torridge 002
wealth_score,0.43478260869565216,23.0,Torridge 002
future_score,7.615384615384615,13.0,Torridge 002
climate_score,2.5161290322580645,31.0,Torridge 002
social_score,12.705882352941176,17.0,Torridge 002
bully_score,7.838709677419355,31.0,Torridge 002
autonomy_score,16.863636363636363,22.0,Torridge 003
life_satisfaction_score,5.0344827586206895,29.0,Torridge 003
optimism_score,12.8125,32.0,Torridge 003
wellbeing_score,20.52173913043478,23.0,Torridge 003
esteem_score,13.608695652173912,23.0,Torridge 003
stress_score,7.464285714285714,28.0,Torridge 003
appearance_score,5.65625,32.0,Torridge 003
negative_score,10.842105263157896,19.0,Torridge 003
lonely_score,3.4545454545454546,33.0,Torridge 003
support_score,5.275862068965517,29.0,Torridge 003
sleep_score,0.46875,32.0,Torridge 003
physical_score,221.61290322580646,31.0,Torridge 003
free_like_score,3.242424242424242,33.0,Torridge 003
media_score,3.878787878787879,33.0,Torridge 003
places_score,2.625,32.0,Torridge 003
staff_talk_score,2.1724137931034484,29.0,Torridge 003
home_talk_score,2.5681818181818183,33.0,Torridge 003
peer_talk_score,2.75,31.0,Torridge 003
talk_score,7.537037037037037,27.0,Torridge 003
accept_score,10.392857142857142,28.0,Torridge 003
school_belong_score,2.64,25.0,Torridge 003
staff_relationship_score,12.466666666666667,30.0,Torridge 003
home_relationship_score,10.772727272727273,22.0,Torridge 003
home_happy_score,5.4,30.0,Torridge 003
local_env_score,14.929824561403507,19.0,Torridge 003
discrim_score,1.0,33.0,Torridge 003
belong_local_score,2.466666666666667,30.0,Torridge 003
wealth_score,0.34782608695652173,23.0,Torridge 003
future_score,7.9,20.0,Torridge 003
climate_score,2.6875,32.0,Torridge 003
social_score,12.083333333333334,24.0,Torridge 003
bully_score,7.375,32.0,Torridge 003
autonomy_score,18.652173913043477,23.0,Torridge 004
life_satisfaction_score,5.096774193548387,31.0,Torridge 004
optimism_score,11.5,32.0,Torridge 004
wellbeing_score,22.25925925925926,27.0,Torridge 004
esteem_score,12.85,20.0,Torridge 004
stress_score,7.541666666666667,24.0,Torridge 004
appearance_score,5.5,32.0,Torridge 004
negative_score,9.090909090909092,22.0,Torridge 004
lonely_score,2.764705882352941,34.0,Torridge 004
support_score,4.666666666666667,33.0,Torridge 004
sleep_score,0.6060606060606061,33.0,Torridge 004
physical_score,188.27586206896552,29.0,Torridge 004
free_like_score,2.4705882352941178,34.0,Torridge 004
media_score,3.735294117647059,34.0,Torridge 004
places_score,2.4705882352941178,34.0,Torridge 004
staff_talk_score,2.5,25.0,Torridge 004
home_talk_score,2.5,27.0,Torridge 004
peer_talk_score,2.5606060606060606,33.0,Torridge 004
talk_score,7.5131578947368425,19.0,Torridge 004
accept_score,9.8,30.0,Torridge 004
school_belong_score,3.0357142857142856,28.0,Torridge 004
staff_relationship_score,11.814814814814815,27.0,Torridge 004
home_relationship_score,12.76923076923077,26.0,Torridge 004
home_happy_score,5.6875,32.0,Torridge 004
local_env_score,16.166666666666664,20.0,Torridge 004
discrim_score,1.0,34.0,Torridge 004
belong_local_score,2.4242424242424243,33.0,Torridge 004
wealth_score,0.3333333333333333,27.0,Torridge 004
future_score,NULL,NULL,Torridge 004
