cat,cat_lab,count,percentage,measure,n_responses,site,year_group_lab,gender_lab,fsm_lab,measure_lab
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[5, 9, 3, 0]","[29.411764705882355, 52.94117647058824, 17.647058823529413, 0.0]",symbol_home,17.0,Northern Devon,Year 8,All,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[3, 5, 7, 2]","[17.647058823529413, 29.411764705882355, 41.17647058823529, 11.76470588235294]",symbol_friends,17.0,Northern Devon,Year 8,All,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[5, 1, 7, 4]","[29.411764705882355, 5.88235294117647, 41.17647058823529, 23.52941176470588]",symbol_choice,17.0,Northern Devon,Year 8,All,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[5, 4, 6, 2]","[29.411764705882355, 23.52941176470588, 35.294117647058826, 11.76470588235294]",symbol_things,17.0,Northern Devon,Year 8,All,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[8, 9, 0, 0]","[47.05882352941176, 52.94117647058824, 0.0, 0.0]",symbol_health,17.0,Northern Devon,Year 8,All,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[6, 6, 5, 0]","[35.294117647058826, 35.294117647058826, 29.411764705882355, 0.0]",symbol_future,17.0,Northern Devon,Year 8,All,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[3, 6, 6, 2]","[17.647058823529413, 35.294117647058826, 35.294117647058826, 11.76470588235294]",symbol_school,17.0,Northern Devon,Year 8,All,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[1, 8, 5, 3]","[5.88235294117647, 47.05882352941176, 29.411764705882355, 17.647058823529413]",symbol_free,17.0,Northern Devon,Year 8,All,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[6, 4, 6, 1]","[35.294117647058826, 23.52941176470588, 35.294117647058826, 5.88235294117647]",symbol_life,17.0,Northern Devon,Year 8,All,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[3, 5, 3, 2]","[23.076923076923077, 38.46153846153847, 23.076923076923077, 15.384615384615385]",symbol_family,13.0,Northern Devon,Year 9,All,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 8, 1, 0]","[30.76923076923077, 61.53846153846154, 7.6923076923076925, 0.0]",symbol_home,13.0,Northern Devon,Year 9,All,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 3, 4, 2]","[30.76923076923077, 23.076923076923077, 30.76923076923077, 15.384615384615385]",symbol_friends,13.0,Northern Devon,Year 9,All,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 4, 5, 0]","[30.76923076923077, 30.76923076923077, 38.46153846153847, 0.0]",symbol_choice,13.0,Northern Devon,Year 9,All,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[5, 3, 3, 2]","[38.46153846153847, 23.076923076923077, 23.076923076923077, 15.384615384615385]",symbol_things,13.0,Northern Devon,Year 9,All,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[3, 3, 7, 0]","[23.076923076923077, 23.076923076923077, 53.84615384615385, 0.0]",symbol_health,13.0,Northern Devon,Year 9,All,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[3, 6, 3, 1]","[23.076923076923077, 46.15384615384615, 23.076923076923077, 7.6923076923076925]",symbol_future,13.0,Northern Devon,Year 9,All,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 3, 4, 2]","[30.76923076923077, 23.076923076923077, 30.76923076923077, 15.384615384615385]",symbol_school,13.0,Northern Devon,Year 9,All,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[1, 3, 7, 2]","[7.6923076923076925, 23.076923076923077, 53.84615384615385, 15.384615384615385]",symbol_free,13.0,Northern Devon,Year 9,All,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[3, 7, 2, 1]","[23.076923076923077, 53.84615384615385, 15.384615384615385, 7.6923076923076925]",symbol_life,13.0,Northern Devon,Year 9,All,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 2, 3, 2]","[36.36363636363637, 18.181818181818183, 27.27272727272727, 18.181818181818183]",symbol_family,11.0,Northern Devon,Year 10,All,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[3, 4, 4, 0]","[27.27272727272727, 36.36363636363637, 36.36363636363637, 0.0]",symbol_home,11.0,Northern Devon,Year 10,All,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[1, 6, 4, 0]","[9.090909090909092, 54.54545454545454, 36.36363636363637, 0.0]",symbol_friends,11.0,Northern Devon,Year 10,All,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[3, 4, 3, 1]","[27.27272727272727, 36.36363636363637, 27.27272727272727, 9.090909090909092]",symbol_choice,11.0,Northern Devon,Year 10,All,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 3, 1, 3]","[36.36363636363637, 27.27272727272727, 9.090909090909092, 27.27272727272727]",symbol_things,11.0,Northern Devon,Year 10,All,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[1, 7, 3, 0]","[9.090909090909092, 63.63636363636363, 27.27272727272727, 0.0]",symbol_health,11.0,Northern Devon,Year 10,All,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[3, 7, 0, 1]","[27.27272727272727, 63.63636363636363, 0.0, 9.090909090909092]",symbol_future,11.0,Northern Devon,Year 10,All,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 1, 4, 2]","[36.36363636363637, 9.090909090909092, 36.36363636363637, 18.181818181818183]",symbol_school,11.0,Northern Devon,Year 10,All,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 4, 1, 2]","[36.36363636363637, 36.36363636363637, 9.090909090909092, 18.181818181818183]",symbol_free,11.0,Northern Devon,Year 10,All,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[7, 1, 2, 1]","[63.63636363636363, 9.090909090909092, 18.181818181818183, 9.090909090909092]",symbol_life,11.0,Northern Devon,Year 10,All,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[2, 2, 6, 2]","[16.666666666666664, 16.666666666666664, 50.0, 16.666666666666664]",symbol_family,12.0,Northern Devon,Year 11,All,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 5, 3, 0]","[33.33333333333333, 41.66666666666667, 25.0, 0.0]",symbol_home,12.0,Northern Devon,Year 11,All,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[5, 4, 3, 0]","[41.66666666666667, 33.33333333333333, 25.0, 0.0]",symbol_friends,12.0,Northern Devon,Year 11,All,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 5, 2, 1]","[33.33333333333333, 41.66666666666667, 16.666666666666664, 8.333333333333332]",symbol_choice,12.0,Northern Devon,Year 11,All,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[2, 7, 2, 1]","[16.666666666666664, 58.333333333333336, 16.666666666666664, 8.333333333333332]",symbol_things,12.0,Northern Devon,Year 11,All,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[6, 2, 4, 0]","[50.0, 16.666666666666664, 33.33333333333333, 0.0]",symbol_health,12.0,Northern Devon,Year 11,All,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 6, 2, 0]","[33.33333333333333, 50.0, 16.666666666666664, 0.0]",symbol_future,12.0,Northern Devon,Year 11,All,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[2, 5, 4, 1]","[16.666666666666664, 41.66666666666667, 33.33333333333333, 8.333333333333332]",symbol_school,12.0,Northern Devon,Year 11,All,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[9, 2, 1, 0]","[75.0, 16.666666666666664, 8.333333333333332, 0.0]",symbol_free,12.0,Northern Devon,Year 11,All,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[2, 5, 4, 1]","[16.666666666666664, 41.66666666666667, 33.33333333333333, 8.333333333333332]",symbol_life,12.0,Northern Devon,Year 11,All,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_family,NULL,Northern Devon,All,Girl,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_home,NULL,Northern Devon,All,Girl,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_friends,NULL,Northern Devon,All,Girl,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_choice,NULL,Northern Devon,All,Girl,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_things,NULL,Northern Devon,All,Girl,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_health,NULL,Northern Devon,All,Girl,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_future,NULL,Northern Devon,All,Girl,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_school,NULL,Northern Devon,All,Girl,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_free,NULL,Northern Devon,All,Girl,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_life,NULL,Northern Devon,All,Girl,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_family,NULL,Northern Devon,All,Boy,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_home,NULL,Northern Devon,All,Boy,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_friends,NULL,Northern Devon,All,Boy,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_choice,NULL,Northern Devon,All,Boy,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_things,NULL,Northern Devon,All,Boy,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_health,NULL,Northern Devon,All,Boy,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_future,NULL,Northern Devon,All,Boy,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_school,NULL,Northern Devon,All,Boy,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_free,NULL,Northern Devon,All,Boy,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_life,NULL,Northern Devon,All,Boy,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[7, 11, 10, 5]","[21.21212121212121, 33.33333333333333, 30.303030303030305, 15.151515151515152]",symbol_family,33.0,Northern Devon,All,All,FSM,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[8, 18, 7, 0]","[24.242424242424242, 54.54545454545454, 21.21212121212121, 0.0]",symbol_home,33.0,Northern Devon,All,All,FSM,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[7, 12, 10, 4]","[21.21212121212121, 36.36363636363637, 30.303030303030305, 12.121212121212121]",symbol_friends,33.0,Northern Devon,All,All,FSM,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[12, 8, 10, 3]","[36.36363636363637, 24.242424242424242, 30.303030303030305, 9.090909090909092]",symbol_choice,33.0,Northern Devon,All,All,FSM,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[6, 14, 10, 3]","[18.181818181818183, 42.42424242424242, 30.303030303030305, 9.090909090909092]",symbol_things,33.0,Northern Devon,All,All,FSM,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[15, 12, 6, 0]","[45.45454545454545, 36.36363636363637, 18.181818181818183, 0.0]",symbol_health,33.0,Northern Devon,All,All,FSM,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[12, 13, 6, 2]","[36.36363636363637, 39.39393939393939, 18.181818181818183, 6.0606060606060606]",symbol_future,33.0,Northern Devon,All,All,FSM,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[11, 12, 10, 0]","[33.33333333333333, 36.36363636363637, 30.303030303030305, 0.0]",symbol_school,33.0,Northern Devon,All,All,FSM,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[9, 11, 9, 4]","[27.27272727272727, 33.33333333333333, 27.27272727272727, 12.121212121212121]",symbol_free,33.0,Northern Devon,All,All,FSM,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[9, 9, 11, 4]","[27.27272727272727, 27.27272727272727, 33.33333333333333, 12.121212121212121]",symbol_life,33.0,Northern Devon,All,All,FSM,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[8, 7, 8, 4]","[29.629629629629626, 25.925925925925924, 29.629629629629626, 14.814814814814813]",symbol_family,27.0,Northern Devon,All,All,Non-FSM,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[9, 13, 5, 0]","[33.33333333333333, 48.148148148148145, 18.51851851851852, 0.0]",symbol_home,27.0,Northern Devon,All,All,Non-FSM,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[9, 7, 9, 2]","[33.33333333333333, 25.925925925925924, 33.33333333333333, 7.4074074074074066]",symbol_friends,27.0,Northern Devon,All,All,Non-FSM,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[6, 7, 10, 4]","[22.22222222222222, 25.925925925925924, 37.03703703703704, 14.814814814814813]",symbol_choice,27.0,Northern Devon,All,All,Non-FSM,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[11, 6, 4, 6]","[40.74074074074074, 22.22222222222222, 14.814814814814813, 22.22222222222222]",symbol_things,27.0,Northern Devon,All,All,Non-FSM,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[6, 11, 10, 0]","[22.22222222222222, 40.74074074074074, 37.03703703703704, 0.0]",symbol_health,27.0,Northern Devon,All,All,Non-FSM,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[6, 13, 7, 1]","[22.22222222222222, 48.148148148148145, 25.925925925925924, 3.7037037037037033]",symbol_future,27.0,Northern Devon,All,All,Non-FSM,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 5, 11, 7]","[14.814814814814813, 18.51851851851852, 40.74074074074074, 25.925925925925924]",symbol_school,27.0,Northern Devon,All,All,Non-FSM,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[6, 9, 9, 3]","[22.22222222222222, 33.33333333333333, 33.33333333333333, 11.11111111111111]",symbol_free,27.0,Northern Devon,All,All,Non-FSM,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[10, 12, 5, 0]","[37.03703703703704, 44.44444444444444, 18.51851851851852, 0.0]",symbol_life,27.0,Northern Devon,All,All,Non-FSM,How do you feel about your life?
