variable,mean,count,msoa,total_pupils,group_n,group_wt_mean,group_wt_std,lower,upper,rag,variable_lab,description
esteem_score,12.346153846153847,26.0,North Devon 003,391.0,19.0,12.741687979539641,0.5879381239360536,12.153749855603587,13.329626103475695,average,Self-esteem,"
How much young people value themselves"
stress_score,7.384615384615385,26.0,North Devon 003,539.0,20.0,7.836734693877551,0.5523650392820009,7.28436965459555,8.389099733159552,average,Stress and coping,"
Managing stress levels and coping with difficulties"
appearance_score,5.638888888888889,36.0,North Devon 003,622.0,20.0,4.963022508038585,0.5967010225969469,4.366321485441638,5.559723530635532,above,Feelings around appearance,"
Young people's feelings around the way that they look"
negative_score,9.26086956521739,23.0,North Devon 003,385.0,20.0,9.774025974025975,0.5763487880119827,9.197677186013992,10.350374762037957,average,Negative affect,"
The frequency with which young people experience emotional difficulties"
lonely_score,3.35,40.0,North Devon 003,669.0,20.0,3.0642750373692076,0.30486940665176476,2.759405630717443,3.3691444440209724,average,Loneliness,"
How often young people feel lonely"
support_score,5.0,37.0,North Devon 003,622.0,20.0,4.863344051446945,0.2824933524489921,4.580850698997953,5.145837403895937,average,Supporting own wellbeing,"
Young people's knowledge on supporting themselves and looking for advice"
sleep_score,0.525,40.0,North Devon 003,644.0,20.0,0.4953416149068323,0.09882037305158985,0.39652124185524246,0.5941619879584221,average,Sleep,"
How much sleep young people get"
physical_score,214.83870967741936,31.0,North Devon 003,582.0,20.0,245.0,38.13479378364181,206.8652062163582,283.13479378364184,average,Physical activity,"
How physically active young people are"
free_like_score,3.05,40.0,North Devon 003,653.0,20.0,3.0168453292496173,0.25103186372647596,2.7658134655231414,3.2678771929760932,average,Free time,"
How often young people can do things that they like in their free time"
media_score,3.35,40.0,North Devon 003,673.0,20.0,4.078751857355126,0.5014300921162455,3.5773217652388807,4.580181949471371,below,Social media use,"
How much time young people spend on social media"
places_score,2.473684210526316,38.0,North Devon 003,664.0,20.0,2.483433734939759,0.16687277202675707,2.316560962913002,2.650306506966516,average,Places to go and things to do,"
Whether young people feel there are places to go and things to do in their
free time"
staff_talk_score,2.15,30.0,North Devon 003,562.0,20.0,2.4813167259786475,0.1957423260099232,2.2855743999687244,2.6770590519885706,below,NULL,NULL
home_talk_score,2.772727272727273,33.0,North Devon 003,585.0,20.0,2.5547008547008545,0.14688774811201868,2.407813106588836,2.701588602812873,above,NULL,NULL
peer_talk_score,2.7916666666666665,36.0,North Devon 003,602.0,20.0,2.5336378737541527,0.20968759244042917,2.3239502813137234,2.743325466194582,above,NULL,NULL
talk_score,7.916666666666667,21.0,North Devon 003,428.0,20.0,7.533878504672897,0.4005224423593017,7.133356062313595,7.934400947032199,average,Talking about feelings,"
How positively/negatively young people feel about talking with others about
feeling down"
accept_score,10.771428571428572,35.0,North Devon 003,582.0,20.0,10.082474226804123,0.4186347178635218,9.663839508940601,10.501108944667646,above,Acceptance,"
Whether young people feel accepted by different groups of people in their
life"
school_belong_score,3.0,37.0,North Devon 003,599.0,20.0,2.954924874791319,0.1983886196098084,2.7565362551815107,3.1533134944011274,average,School connection,"
Feelings of belonging at school"
staff_relationship_score,11.942857142857143,35.0,North Devon 003,575.0,20.0,12.027826086956521,0.5570880606232873,11.470738026333233,12.58491414757981,average,Support from staff,"
The support received from adults at school"
home_relationship_score,11.9,30.0,North Devon 003,515.0,20.0,12.062135922330096,0.7690831882903442,11.293052734039753,12.83121911062044,average,Support from parents/carers,"
The support received from adults at home"
home_happy_score,5.783783783783784,37.0,North Devon 003,604.0,20.0,4.940397350993377,0.7549267302738673,4.18547062071951,5.695324081267245,above,Home environment,"
Young people's feelings regarding the home that they live in"
local_env_score,14.65277777777777,24.0,North Devon 003,355.0,20.0,14.885446009389671,0.7627055365027211,14.12274047288695,15.648151545892393,average,Local environment,"
How young people feel regarding the area where they live"
discrim_score,1.025,40.0,North Devon 003,678.0,20.0,1.0147492625368733,0.020541714106175567,0.9942075484306977,1.035290976643049,average,Discrimination,"
Whether young people feel discriminated against"
belong_local_score,2.4857142857142858,35.0,North Devon 003,625.0,20.0,2.3456,0.19026053738039997,2.1553394626196,2.5358605373804,average,Local connection,"
Young people's feelings of belonging in their local area"
wealth_score,0.43333333333333335,30.0,North Devon 003,476.0,20.0,0.35714285714285715,0.07913462942572096,0.2780082277171362,0.4362774865685781,average,Relative wealth,"
Whether young people feel their family is richer, poorer or the same as their
friends"
future_score,7.088235294117647,17.0,North Devon 003,222.0,15.0,7.506756756756757,0.5563465223681503,6.950410234388607,8.063103279124908,average,Future opportunities,"
How young people feel regarding the future options for work, education or
training in their local area"
climate_score,2.3684210526315788,38.0,North Devon 003,655.0,20.0,2.4885496183206106,0.17827857312780837,2.310271045192802,2.666828191448419,average,Climate change,"
Worries regarding climate change"
social_score,12.23076923076923,26.0,North Devon 003,441.0,20.0,11.884353741496598,0.4692186420598787,11.41513509943672,12.353572383556477,average,Support from friends,"
The support young people receive from their peers"
bully_score,8.08108108108108,37.0,North Devon 003,643.0,20.0,7.514774494556765,0.3209338895886501,7.193840604968115,7.835708384145415,above,Bullying,"
The frequency with which young people experience different types of bullying"
autonomy_score,18.285714285714285,14.0,North Devon 004,426.0,20.0,17.85211267605634,0.7240076318941591,17.12810504416218,18.5761203079505,average,Autonomy,"
How 'in control' young people feel of their life"
life_satisfaction_score,5.7894736842105265,19.0,North Devon 004,617.0,20.0,4.946515397082658,0.47982855277608544,4.466686844306572,5.426343949858744,above,Life satisfaction,"
How satisfied young people feel with their life"
optimism_score,11.789473684210526,19.0,North Devon 004,622.0,20.0,12.069131832797428,0.44645863215727216,11.622673200640156,12.5155904649547,average,Optimism,"
Young people's hopefulness and confidence for the future"
wellbeing_score,21.0,17.0,North Devon 004,466.0,20.0,21.006437768240342,0.939871527800999,20.066566240439343,21.946309296041342,average,Psychological wellbeing,"
How positive and generally happy young people feel regarding their life"
esteem_score,12.705882352941176,17.0,North Devon 004,391.0,19.0,12.741687979539641,0.5879381239360536,12.153749855603587,13.329626103475695,average,Self-esteem,"
How much young people value themselves"
stress_score,8.529411764705882,17.0,North Devon 004,539.0,20.0,7.836734693877551,0.5523650392820009,7.28436965459555,8.389099733159552,above,Stress and coping,"
Managing stress levels and coping with difficulties"
appearance_score,5.294117647058823,17.0,North Devon 004,622.0,20.0,4.963022508038585,0.5967010225969469,4.366321485441638,5.559723530635532,average,Feelings around appearance,"
Young people's feelings around the way that they look"
negative_score,10.5,12.0,North Devon 004,385.0,20.0,9.774025974025975,0.5763487880119827,9.197677186013992,10.350374762037957,above,Negative affect,"
The frequency with which young people experience emotional difficulties"
lonely_score,3.1818181818181817,22.0,North Devon 004,669.0,20.0,3.0642750373692076,0.30486940665176476,2.759405630717443,3.3691444440209724,average,Loneliness,"
How often young people feel lonely"
support_score,5.428571428571429,21.0,North Devon 004,622.0,20.0,4.863344051446945,0.2824933524489921,4.580850698997953,5.145837403895937,above,Supporting own wellbeing,"
Young people's knowledge on supporting themselves and looking for advice"
sleep_score,0.5909090909090909,22.0,North Devon 004,644.0,20.0,0.4953416149068323,0.09882037305158985,0.39652124185524246,0.5941619879584221,average,Sleep,"
How much sleep young people get"
physical_score,295.5,20.0,North Devon 004,582.0,20.0,245.0,38.13479378364181,206.8652062163582,283.13479378364184,above,Physical activity,"
How physically active young people are"
free_like_score,3.2857142857142856,21.0,North Devon 004,653.0,20.0,3.0168453292496173,0.25103186372647596,2.7658134655231414,3.2678771929760932,above,Free time,"
How often young people can do things that they like in their free time"
media_score,5.2272727272727275,22.0,North Devon 004,673.0,20.0,4.078751857355126,0.5014300921162455,3.5773217652388807,4.580181949471371,above,Social media use,"
How much time young people spend on social media"
places_score,2.6818181818181817,22.0,North Devon 004,664.0,20.0,2.483433734939759,0.16687277202675707,2.316560962913002,2.650306506966516,above,Places to go and things to do,"
Whether young people feel there are places to go and things to do in their
free time"
staff_talk_score,2.638888888888889,18.0,North Devon 004,562.0,20.0,2.4813167259786475,0.1957423260099232,2.2855743999687244,2.6770590519885706,average,NULL,NULL
home_talk_score,2.473684210526316,19.0,North Devon 004,585.0,20.0,2.5547008547008545,0.14688774811201868,2.407813106588836,2.701588602812873,average,NULL,NULL
peer_talk_score,2.4444444444444446,18.0,North Devon 004,602.0,20.0,2.5336378737541527,0.20968759244042917,2.3239502813137234,2.743325466194582,average,NULL,NULL
talk_score,7.9375,12.0,North Devon 004,428.0,20.0,7.533878504672897,0.4005224423593017,7.133356062313595,7.934400947032199,above,Talking about feelings,"
How positively/negatively young people feel about talking with others about
feeling down"
accept_score,10.052631578947368,19.0,North Devon 004,582.0,20.0,10.082474226804123,0.4186347178635218,9.663839508940601,10.501108944667646,average,Acceptance,"
Whether young people feel accepted by different groups of people in their
life"
school_belong_score,3.0,22.0,North Devon 004,599.0,20.0,2.954924874791319,0.1983886196098084,2.7565362551815107,3.1533134944011274,average,School connection,"
Feelings of belonging at school"
staff_relationship_score,12.526315789473685,19.0,North Devon 004,575.0,20.0,12.027826086956521,0.5570880606232873,11.470738026333233,12.58491414757981,average,Support from staff,"
The support received from adults at school"
home_relationship_score,12.625,16.0,North Devon 004,515.0,20.0,12.062135922330096,0.7690831882903442,11.293052734039753,12.83121911062044,average,Support from parents/carers,"
The support received from adults at home"
home_happy_score,6.470588235294118,17.0,North Devon 004,604.0,20.0,4.940397350993377,0.7549267302738673,4.18547062071951,5.695324081267245,above,Home environment,"
Young people's feelings regarding the home that they live in"
local_env_score,15.636363636363626,11.0,North Devon 004,355.0,20.0,14.885446009389671,0.7627055365027211,14.12274047288695,15.648151545892393,average,Local environment,"
How young people feel regarding the area where they live"
discrim_score,1.0,22.0,North Devon 004,678.0,20.0,1.0147492625368733,0.020541714106175567,0.9942075484306977,1.035290976643049,average,Discrimination,"
Whether young people feel discriminated against"
belong_local_score,1.9473684210526316,19.0,North Devon 004,625.0,20.0,2.3456,0.19026053738039997,2.1553394626196,2.5358605373804,below,Local connection,"
Young people's feelings of belonging in their local area"
wealth_score,0.2857142857142857,14.0,North Devon 004,476.0,20.0,0.35714285714285715,0.07913462942572096,0.2780082277171362,0.4362774865685781,average,Relative wealth,"
Whether young people feel their family is richer, poorer or the same as their
friends"
future_score,7.45,10.0,North Devon 004,222.0,15.0,7.506756756756757,0.5563465223681503,6.950410234388607,8.063103279124908,average,Future opportunities,"
How young people feel regarding the future options for work, education or
training in their local area"
climate_score,2.9523809523809526,21.0,North Devon 004,655.0,20.0,2.4885496183206106,0.17827857312780837,2.310271045192802,2.666828191448419,above,Climate change,"
Worries regarding climate change"
social_score,12.23076923076923,13.0,North Devon 004,441.0,20.0,11.884353741496598,0.4692186420598787,11.41513509943672,12.353572383556477,average,Support from friends,"
The support young people receive from their peers"
bully_score,6.7,20.0,North Devon 004,643.0,20.0,7.514774494556765,0.3209338895886501,7.193840604968115,7.835708384145415,below,Bullying,"
The frequency with which young people experience different types of bullying"
autonomy_score,17.0,24.0,North Devon 005,426.0,20.0,17.85211267605634,0.7240076318941591,17.12810504416218,18.5761203079505,below,Autonomy,"
How 'in control' young people feel of their life"
life_satisfaction_score,4.828571428571428,35.0,North Devon 005,617.0,20.0,4.946515397082658,0.47982855277608544,4.466686844306572,5.426343949858744,average,Life satisfaction,"
How satisfied young people feel with their life"
optimism_score,12.15625,32.0,North Devon 005,622.0,20.0,12.069131832797428,0.44645863215727216,11.622673200640156,12.5155904649547,average,Optimism,"
Young people's hopefulness and confidence for the future"
wellbeing_score,21.095238095238095,21.0,North Devon 005,466.0,20.0,21.006437768240342,0.939871527800999,20.066566240439343,21.946309296041342,average,Psychological wellbeing,"
How positive and generally happy young people feel regarding their life"
esteem_score,13.157894736842104,19.0,North Devon 005,391.0,19.0,12.741687979539641,0.5879381239360536,12.153749855603587,13.329626103475695,average,Self-esteem,"
How much young people value themselves"
stress_score,7.870967741935484,31.0,North Devon 005,539.0,20.0,7.836734693877551,0.5523650392820009,7.28436965459555,8.389099733159552,average,Stress and coping,"
Managing stress levels and coping with difficulties"
appearance_score,4.666666666666667,33.0,North Devon 005,622.0,20.0,4.963022508038585,0.5967010225969469,4.366321485441638,5.559723530635532,average,Feelings around appearance,"
Young people's feelings around the way that they look"
negative_score,10.222222222222221,18.0,North Devon 005,385.0,20.0,9.774025974025975,0.5763487880119827,9.197677186013992,10.350374762037957,average,Negative affect,"
The frequency with which young people experience emotional difficulties"
lonely_score,3.27027027027027,37.0,North Devon 005,669.0,20.0,3.0642750373692076,0.30486940665176476,2.759405630717443,3.3691444440209724,average,Loneliness,"
How often young people feel lonely"
support_score,5.03030303030303,33.0,North Devon 005,622.0,20.0,4.863344051446945,0.2824933524489921,4.580850698997953,5.145837403895937,average,Supporting own wellbeing,"
Young people's knowledge on supporting themselves and looking for advice"
sleep_score,0.4722222222222222,36.0,North Devon 005,644.0,20.0,0.4953416149068323,0.09882037305158985,0.39652124185524246,0.5941619879584221,average,Sleep,"
How much sleep young people get"
physical_score,213.63636363636363,33.0,North Devon 005,582.0,20.0,245.0,38.13479378364181,206.8652062163582,283.13479378364184,average,Physical activity,"
How physically active young people are"
free_like_score,2.7777777777777777,36.0,North Devon 005,653.0,20.0,3.0168453292496173,0.25103186372647596,2.7658134655231414,3.2678771929760932,average,Free time,"
How often young people can do things that they like in their free time"
media_score,4.162162162162162,37.0,North Devon 005,673.0,20.0,4.078751857355126,0.5014300921162455,3.5773217652388807,4.580181949471371,average,Social media use,"
How much time young people spend on social media"
places_score,2.3333333333333335,36.0,North Devon 005,664.0,20.0,2.483433734939759,0.16687277202675707,2.316560962913002,2.650306506966516,average,Places to go and things to do,"
Whether young people feel there are places to go and things to do in their
free time"
staff_talk_score,2.448529411764706,34.0,North Devon 005,562.0,20.0,2.4813167259786475,0.1957423260099232,2.2855743999687244,2.6770590519885706,average,NULL,NULL
home_talk_score,2.6666666666666665,33.0,North Devon 005,585.0,20.0,2.5547008547008545,0.14688774811201868,2.407813106588836,2.701588602812873,average,NULL,NULL
peer_talk_score,2.537878787878788,33.0,North Devon 005,602.0,20.0,2.5336378737541527,0.20968759244042917,2.3239502813137234,2.743325466194582,average,NULL,NULL
talk_score,7.953703703703703,27.0,North Devon 005,428.0,20.0,7.533878504672897,0.4005224423593017,7.133356062313595,7.934400947032199,above,Talking about feelings,"
How positively/negatively young people feel about talking with others about
feeling down"
accept_score,9.814814814814815,27.0,North Devon 005,582.0,20.0,10.082474226804123,0.4186347178635218,9.663839508940601,10.501108944667646,average,Acceptance,"
Whether young people feel accepted by different groups of people in their
life"
school_belong_score,2.7222222222222223,36.0,North Devon 005,599.0,20.0,2.954924874791319,0.1983886196098084,2.7565362551815107,3.1533134944011274,below,School connection,"
Feelings of belonging at school"
staff_relationship_score,12.151515151515152,33.0,North Devon 005,575.0,20.0,12.027826086956521,0.5570880606232873,11.470738026333233,12.58491414757981,average,Support from staff,"
The support received from adults at school"
home_relationship_score,12.48,25.0,North Devon 005,515.0,20.0,12.062135922330096,0.7690831882903442,11.293052734039753,12.83121911062044,average,Support from parents/carers,"
The support received from adults at home"
home_happy_score,5.088235294117647,34.0,North Devon 005,604.0,20.0,4.940397350993377,0.7549267302738673,4.18547062071951,5.695324081267245,average,Home environment,"
Young people's feelings regarding the home that they live in"
local_env_score,14.98039215686274,17.0,North Devon 005,355.0,20.0,14.885446009389671,0.7627055365027211,14.12274047288695,15.648151545892393,average,Local environment,"
How young people feel regarding the area where they live"
